"Text";"Type";"AttPhoto";"AttLink";"AttAudio";"AttVideo";"IsAdd";"Len";"Date";"LikesNormAvg";"LikesNormFlw";"Likes";"AvgLikes";"Followers";"GroupId"
"Это, блядь, КАПИТАНСКИЙ РОМ! Абсолютно смертоносное пойло, крепость-48%, уничтожает всех, от грязных бомжей до ебанных хипстеров. Вкус и эффект в чистом виде сравним с ударом в ебало лошадиным копытом, существует очень мало храбрецов, способных его таким образом употреблять. При смеси с колой-весьма вкусная хуйня. Самый известный лайт вариант-берется 2л кола, из нее выпивается 1/4то есть 0.5л и в эту же бутылку доливается непосредственно сам капитан. Вкус становится очень мягким, спирта почти не чувствуешь, но тут кроется крупная ловушка! Градус все ровно остается немаленьким, поэтому если не рассчитать свои возможности, то можно  ОЧЕНЬ сильно охуеть и набухаться до почти полной потери сознания! Немало славных воинов пало в бою с этим коварным противником! Вариант с бутылкой позволяет шайке алконавтов абсолютно незаметно для окружающих передвигаться по городу, при этом вливая в себя новы е и новые дозы синьки! Вариант 50/50 в целом тоже возможен, но вкус в таком случае будет где-то 2/10. Ну а если ты панк или просто веселый парень-ты можешь пить прямо из горла, чтобы потом лежать в луже своей блевоты и шевелить глазами как ебаная рыба! Существует 2 варианта-0.5самый распространенный и популярный и ФЛЯГА 0.25с ней ты можешь почувствовать себя ебанным ДЕДОМ. Цена достаточно сильно разнится- 208р самый дешевый алкомагаз, 268 самый охуевший ларек на районе. Фляга стоит че-то около 130 в нормально месте. Минус только один-ареал распространения этого напитка богов весьма узок, 100% есть только в приморье, есть инфа, что в хабаровском тоже стреляет! Производит данный продукт фирма Уссурийский Бальзам, у которой кроме кепа есть миллион других алко-настоек, но кэпчик это символ и душа марки!";"post";1;0;0;0;0;256;1386664572;2487.037;12.2724;5372;216;43773;57640721
"Все так";"post";1;0;0;0;0;2;1490782816;2166.6667;0.1697;1040;48;612754;28429027
"Делюсь своим мнение касательно некоторого учебного художественного заведения,не совсем ,может быть,по теме паблика... Ох,чуваки,надеюсь ваши попки пристегнуты,а то моя бомбит до сих пор... В чем собственно дело : трое моих одногруппника сразу же после получения диплома об окончании худ колледжа отбыли в Москву для поступления в Строгановку гос-ная худ промышленная академия по каким направления кто поступал указывать не буду,но кому интересно отвечу в комментариях.У каждого в целом уровень рисования хороший,и уж если не все трое,то двое из трех могли бы пройти и обучаться на бюджетной основе. Однако все трое получили довольно низкие баллы по творческим дисциплинам.Казалось бы,получили низкие баллы - значит уступили ребятам,кто оказался сильнее в рисунке/живописи/композиции, не выложились на всё 100%. Но вышло всё горааааздо интересне. Мои одногруппники подали на апелляцию и уже на этом этапе у них начались проблеммы.Сотрудники заведения попросту отказывались показывать работы и только после разбирательств и выяснений отношений,поступавшим все таки показали их работы.И те самые поступавшие увидели и другие работы,что получили высокие баллы... И благо что их засняли,иначе бы никто не поверил... Это просто ужасно...  1 работа - работа моего одногруппника,получившего за рисунок 10 балов из 50 2 и 3 работы - рисунки,получившие приблизительно все 50 балов из 50  Вот такие вот дела,господа...";"post";3;0;0;0;0;198;1470734708;877.1429;2.5818;307;35;11891;55435278
"Когда сессия наступает на пятки";"post";0;0;0;0;0;5;1482235460;841.4634;4.1101;1035;123;25182;66036248
"Надеюсь, у вас такого не бывает. Проснулся, всё ещё хуёво. Туда-сюда, денег болт, кинул плач тем, кто вчера клялся в дружбе, «а в ответ — тишина». Бара с алкашкой про запас у вас или отродясь не было, или там нет ни хуя. Открываешь входную дверь — в проёме гильотина. Это не шутки, всё в натуре так. Походу самого бога намедни обидел. И тут осознаёшь, что готов употребить любое зло, лишь бы ёбнуло. Говорил мудрец: от хуйни и пиздеца не зарекайся. И вспоминаешь про дарёный одеколон. Ну, здравствуй, «Шипр».  Объём смехотворен: 85 мл. Немного обнадёживает крепость 79,7% и состав помимо пищевого спирта, чутка водички и парфюмерная композиция: люблю простые продукты.  Учитывая малое количество, решил употребить столь экзотичный для моих кишок напиток не спеша. В разбодяженном виде хуячил с водичкой в пропорциях 1:1,5 и 1:1, отпивал большой глоток, задерживал во рту, размышлял похоже с виду на воду с гуашью кто учился в художке — знает, кто не учился, см. иллюстрацию № 2; на вкус — лекарство от душевного кашля. Оставляет весьма приятное послевкусие хоть на свиданье иди. Даже со столь малого количества стакан меня покачнуло, и минут -дцать я был уверен, что скорешился с Волшебником Изумрудного Города. Поскольку цель была спастись, а не наебениться, в высокой степени доволен употреблённым подарком. Надпись на обороте «Использование продукции в пищевых целях опасно для Вашего здоровья» — путинистское наебалово: уже несколько часов во мне плещется это освобождающее удовольствие и кроме душевного подъёма и собранности не ощущаю никаких побочных эффектов.  Теперь внимание! Жители городов, где есть «Ашан»: прошла инфа, что в них можно купить описываемый напиток дешевле 30 руб. / флакон; то есть маза, основательно затарившись, и поэкспрементировать, и вкусить, и охуеть. А вообще, по стране цены пляшут до полутора сотен и достать сложновато. Из чего резюме: пусть меня сподвигла испить «Шипру» экзистенциальная необходимость и случай, всем прочим, по возможности, безоговорочно рекомендую попробовать. Хоть разочек. Даже если вы не любитель экзотики, никогда не были на Кипре и практикуете только виртуальный секс. Да и кто знает: в связи со всеми этими ссаными подорожаниями на привычное бухло, может статься, что «Шипр» станет для кого-то повседневным спасением и отдушиной.";"post";2;0;0;0;0;349;1395652752;825;4.071;1782;216;43773;57640721
"Коктейль «Жуть»  Экономно, затейливо, эффектно. Пузырь в рыло – и человек с копыт.   «Пить просто водку, даже из горлышка, - в этом нет ничего, кроме томления духа и суеты», - говорил Веничка Ерофеев, а он знал, что говорил. Немногие и в наше изобильное «сегодня» могут похвастать таким богатым опытом в создании коктейлей, каким обладал Ерофеев в скудном советском «вчера». Но да будет знающим классика западло быть пустоголовой юностью, пришедшей ему на смену. Будем же экспериментировать на себе!  Рецепт от ребят из МИФИ   В хорошие годы неподалеку от легендарного «парапета» зиждился укромный чепок. Лекции забивались, студенты скидывались и шли к тёте Гале. Душа и сердце коктейля – самая дешевая водка «Эрик» стоила в начале нулевых 35 р за полбанки. К ней докупался двухлитровый лимонный «Швепс» и баночка «Спрайта» 0.33.     «Швепс» выливается до верхней ризки этикетки. Освободившееся пространство заполняется сперва - водкой, затем - «Спрайтом». Получиться должно ровно по горлышко. Бутыль плотно закручивается и вдумчиво взбалтывается: баклаху держа за горлышко бьют об колено, подбрасывают к небесам, перекидывают друг другу. После коктейль оставляют в покое и дают «завариться» - по времени это одна сигарета.   Дешевая водка детонирует забалдение. Ядрёная химикоза пиндосского тоника подавляет блевотворную природу водчиллы, взбудораженные пузырьки преумножают алкогольный приход. Наконец, «Спрайт» смягчает буйство горечи и привносит в смесь нотки капризной помпезности. Вся симфония не оставит равнодушным даже искушенного изысканными букетами портвейнных коктейлей благородного дона.   Сие - «Жуть Обыкновенная» или Жуть «Классик». Пытливый народ наш знает также: Жуть «Премиум» - «Швепс» используем клюквенный; Жуть «Выдержанная» - на основе - 0.7 «Богородской» крепкой 45 градусов; Жуть «Праздничная» - на спирте предельной крепости. И несчетное еще число версий состава и названия в землячествах и районах.   *** Лет десять назад цены, понятно, не те были. Весь праздник обходился в 80 р. Сегодня назвать «Жуть» дешевым бухлом – лукавство, а то и мудацкий пиздеж. Даже при самой пронырливой экономии ценник готовой амброзии стремится к трем сотням. Мутить или нет – всегда твоя воля, комрад.";"post";1;0;0;0;0;318;1409896741;745.8333;3.6804;1611;216;43773;57640721
"Все мы... Все мы слишком зазнались, задрав свои сивушные носы к осеннему небу, не наблюдая простых истин, которые жили, живут и будут жить рядом с нами. Возможно, мы блокируем их на психологическом, подсознательном и молекулярном уровнях...  Бегло ознакомившись с местным контингентом и рецензиями на браги, я не мог не обратить своё внимание на одну мелкую, но крайне вопиющую проблему, деталь. Я понял, что здесь, в клоаке алкогольной зависимости и факторов её преломления, мы с Вами упускаем важное нечто. И имя тому нечто: Классический стиль.  Неужели не осталось достойных? Мы то с тобой прекрасно понимаем, что мир давно уже катится к чертовой матери... Но почему мы должны потворствовать прихотям и тенденциям абсолютно неизвестных нам алкоголиков, которые пытаются примерить маску честного и экономного гражданина, знающего толк в культурном отдыхе?  Сегодня, мы вместе сорвём маски и укажем дифирамбами на Наследие. Юноши, девушки и те, кто еще не определился со своим гендером, прошу любить и жаловать:  Тоник Красного Перца в народе известен так-же как ""Фанфурик"" - Авангардное сочетание цены и качества. Сотня миллиграмм - распоясанный табун жеребцов, ударная дозировка, кладёт особь в 60-70 кг на лопатки, с идеальным щелчком или теплым треском от исполинского удара о твердь, в зависимости от плотности последней.  ЦЕНА: Колеблется 30-35 российских пиастров за 100мл.! ***В отдельных регионах вероятна закупка по более демократичным ценам, уточняйте в точках сбыта***  ГДЕ: Ближайшая аптека, иногда - обычные киоски, реже - рюмочные.  ВНИМАНИЕ! НАПИТОК РАЗЯЩЕГО ДЕЙСТВИЯ! ДОЗИРОВКА ПОДБИРАЕТСЯ ИНДИВИДУАЛЬНО, МЕТОДОМ ПРОБ И ОШИБОК.  Это значит, что Тоник Перца станет неплохим хобби, возможно, даже профессиональным долгом, как обычно и случается. Ручаюсь, Доктор Шредингер, будучи живым, не смог бы допустить каких-то других вариантов событий. Обычно любые пропорции и дозировки, со временем, подходят к значению в одну фаянсовую бутылочку всё те же, 100мл. которой, с лихвой хватает на пол дня. Поймите, здесь всё сугубо индивидуально.  Явные и естественные плюсы употребления Тоника пероральным путем:  - Вы познакомитесь с диаспорой особых людей, действительно интеллигентных мужчин и женщин, у которых за спиной огромный опыт.  По началу, Вы будете путать их с завсегдатаями рюмочных. Однако, эти прекрасные люди, принявшие важнейшее решение в жизни: соблюдать каноны Мастеров и Хранителей фанфурика, не похожи совсем ни на кого. Многие из них разбираются в ядерной физике, выживании в городских условиях, некоторые знают умопомрачительные рецепты коктейлей и вкусных похлебок из чего угодно. Реальные люди, сверхнормативные, мастера на все руки, полубоги с потрясающим даром выманивая мелочи. Мотай на ус, молодёжь!  - В любой другой компании Тоник даёт Вам стопроцентный шанс прослыть настоящим классиком, знающим свое дело как никто другой.   Чтите и помните золотое правило: Детали важнее всего. С Тоником Красного Перца, при определенной сноровке, Вы становитесь проводником в мир тонкого и многогранного стиля порядочных посиделок. Увлекательнейшие приключения и остросюжетные повороты для всей компании выступают здесь гарантом, стоит только откупорить первый пузырёк!  - Прекрасно дополняет всё что угодно.   Смешивайте, экспериментируйте, проявляйте фантазию! Тоник Красного Перца зачастую становится доминантным алкогольным напитком, что не мешает пропустить наряду с ним пару-другую браг и перегонов иной категории. Особо пытливые доходяги скрещивают фанфурик с пивом, дескать, на злобу дня или по поводу банального выходного. Повседневным вариантом по-прежнему остается простая вода, не обязательно чтобы она была структурированная, подойдет и та что льёт из крана. Он дополнит и тебя, солнышко. Стоит только захотеть стать частью Вселенной.  - Благодаря отлаженному сбыту через аптечные пункты, мы имеем неограниченный, по времени, доступ к данной вкуснятине. Надеюсь, этого достаточно, чтобы перестать сомневаться и посмотреть на реальность объективно: ""Да, придурок, это легенда! Флагман алкогольной продукции!""  ОПАСАЙТЕСЬ ПОДДЕЛОК, ТОЛЬКО ТОНИК КРАСНОГО ПЕРЦА ОБЛАГОРАЖИВАЕТ ВАШ ЖИЗНЕННЫЙ ПУТЬ!  ***В случае дефицита возможна замена на Боярышник или Настойку Дуба, перед закупкой проконсультируйтесь с местным Мастером по аптечному бару. Такса за консультацию варьирует в пределах Вашей порядочности или пяти - пятнадцати россиянских шекелей!!! Всё удобно, заплатите простым ""Спасибо"" или наличными.***  ОПАСАЙТЕСЬ КРАТКОВРЕМЕННЫХ ПОТЕРЬ ПАМЯТИ! ШАНС КРИТИЧЕСКОЙ ОТКЛЮЧКИ БЕЗУСЛОВЕН ДЛЯ БУНТАРЕЙ И АЛКО-ЭКСТРАВЕРТОВ!  От автора:  Многие скажут, мол, пожаловался, понаписал тут, а сам не рассказал про вкус, ощущения, приятный восторг в конце концов. Знаете, я оставляю это на Вас. Бросайте свою х*йню и начните уже заниматься полезным делом! Главные наводки я дал, плюсы раскрыл, можете расценивать это, как интригу. Я воспеваю фанфурик, а не рассказываю о том, какой он ""клевый-приклевый"", ведь это классика, а классический вкус должен знать каждый... Вкус, который должен узнаваться во взгляде товарищей и в непогрешимой безмятежности отдыхающих на земле незнакомцев! Я выполнил свой долг - ты знаешь. Теперь одевайся и бегом до аптеки!";"post";2;0;0;0;0;721;1415869610;729.6296;3.6004;1576;216;43773;57640721
"""кризис, доллар, покупать бытовую технику,"" - говорили они, а ты хуй ложил на всю эту шушеру для пидоров и не включал телевизор. а потом ты выходишь из дома и понимаешь, что пятьсот рублей - это реально мало, что ты больше не можешь прожить на них неделю как лет пять назад, что хочется жрать и даже крылатая фраза ""пиво - тот же хлеб"" уже не спасает и вот ты заходишь в пятёрочку. ты знаешь, что пятёрочка - отличный магазин, потому что здесь постоянно какие-нибудь скидки. твой опытный глаз алкаша сразу смотрит на самые низкие или самые высокие полки: такой волк маркетинга, как ты, знает все трюки этих либерастов. пускаешь скупую слезу на пятилитровом багбире и вспоминаешь летние посиделки у костра, когда тебе было двенадцать. проходишь мимо охоты крепкой и вспоминаешь, как блевал в казани из окна вдруг, на самой высокой полке видишь его - литрового ""боярина"". господи, этот напиток и правда может умаслить твоё чсв; всего 61 рубль за литр - это почти тридцатка за половину, как в старых добрых нулевых; вот это удача. ты нежно снимаешь его с полки и идёшь к кассе и вот ты делаешь первый глоток. по традиции этого паблика надо написать, что эта амброзия достойна греческих богов и что дионис продал бы почку за стакан этого нектара, - я тут не первый день, знаю. но, блядь, это же ёбаный в рот боярин, русская культура, духовные скрепы, крым наш, вся хуйня, - короче, ссанина полнейшая, но пить можно. похмелье как с дерьмовой балтики. бутылка пиздатая, оформление ласкает глаз, цветовая гамма приятная понятное дело, это не лондон прайд. да и хуй с ним, кому какая разница, как это на вкус, если ты можешь гордо расшагивать с бутылкой по улице и глядеть сверху вниз на этих оборванных крестьян с грязью под ногтями? почему? потому что ты - бояринъ.";"post";1;0;0;0;0;299;1421802829;607.4074;2.9973;1312;216;43773;57640721
"Доброе время суток. Хотела бы поблагодарить и выразить свое уважение прекрасному человеку и потрясающему художнику -  Gurokochi  Необыкновенный стиль, пышечки так и притягивают. Мягкие разноцветные линии, приятный глазу покрас, прорисовка каждой пряди и детальки. Оригинальные идеи  и исполнение. Можно сказать, что Иван вкладывает частичку себя в каждый рисунок, но не знаю так ли это.  Часто радует своих подписчиков рисуночками и просто общается  с ними по душам. Я бы еще много чего хорошего хотела сказать автору, но не могу пока все правильно сформулировать. Так что, закончим пожеланиями.  Гурокочи, цвети так ярко и дальше. Не болей и спи хорошо. Кушай побольше. Все твои подписчики любят тебя, по этому не расстраивайся по пустякам. Мы всегда тебя поддержим~";"post";6;0;0;0;0;114;1465060566;591.4286;1.7408;207;35;11891;55435278
"Кот волшебник пришел, чтобы исполнить все ваши желания";"post";5;0;0;0;0;8;1481299452;569.1057;2.7798;700;123;25182;66036248
