"Text";"Type";"AttPhoto";"AttLink";"AttAudio";"AttVideo";"IsAdd";"Len";"Date";"LikesNormAvg";"LikesNormFlw";"Likes";"AvgLikes";"Followers";"GroupId"
"СМОТРИТ ВИДЕО ПРО КОСМОС  МНИТ СЕБЯ АСТРОНОМОМ НЕ ЗНАЕТ ПОРЯДКА ПЛАНЕТ В СОЛНЕЧНОЙ СИСТЕМЕ";"post";0;0;0;0;0;14;1491346850;125.85692995529061;0.8951996311077897;3378;2684;377346;57536014
"#БТnews  ОЧЕНЬ ЛЮБИШЬ ПОНЧИКИ  ПОСТОЯННО ИХ ЕШЬ  ВСЕ СВОБОДНОЕ ВРЕМЯ  УМИРАЕШЬ КАК И ЖИЛ  С ПОНЧИКАМИ ВО РТУ   ";"post";1;1;0;0;0;18;1491345309;37.742175856929954;0.26845388582362073;1013;2684;377346;57536014
"Молодцы! Вы справились с первым заданием! БТ увековечен в памяти. А теперь поможем господам анонам дорисовать данную картину.    ";"post";1;0;0;0;0;18;1491344940;41.65424739195231;0.2962798068616071;1118;2684;377346;57536014
"ОБОРОНЯЕМ   ЗАЩИЩАЕМ   РИСУЕМ   ВСЁ ВО ИМЯ ВЕЛИКОЙ ЙОБЫ  Есть один сайт. Каждый человек может нарисовать по пикселю в три минуты. Кооперируемся у огромной йобы вы её увидите сразу. Пишем ""БУГУРТ-ТРЕД"" красным цветом под ней. Посмотрим на сколько мы сможем в самоорганизацию. Внезапный художественный тред на ночном иди!   ";"post";1;0;0;0;0;47;1491343515;42.399403874813714;0.30157998229741406;1138;2684;377346;57536014
"ЗАДАЛИ СОЧИНЕНИЕ НА ТЕМУ ""ЛУЧШИЙ ДРУГ"" НАПИСАЛ ПРО СВОЮ МАМУ";"post";1;0;0;0;0;10;1491343509;110.95380029806259;0.7891961223916512;2978;2684;377346;57536014
"#БТnews  ТЫ ГРАММАР НАЦИ ДО МОЗГА КОСТЕЙ  НЕ МОЖЕШЬ ПЕРЕЖИТЬ ОШИБКИ В ТЕКСТЕ  УЖЕ 13 ЛЕТ ХОДИШЬ ПО ГОРОДУ И ИСПРАВЛЯЕШЬ ОШИБКИ В ВЫВЕСКАХ   ";"post";1;1;0;0;0;24;1491338115;54.843517138599104;0.3900929120753897;1472;2684;377346;57536014
"ОТКРЫВАЕШЬ ОКНО, ЧТОБЫ ПРОВЕТРИТЬ КОМНАТУ  КТО-ТО КУРИТ ПОД ОКНОМ";"post";1;0;0;0;0;9;1491336381;130.14157973174366;0.9256756398636795;3493;2684;377346;57536014
"#ночное_чтиво  С ТРУДОМ РАЗЛЕПИВ ВЕКИ, ТЫ ЗАМЕЧАЕШЬ НА КЛАВИАТУРЕ НЕБОЛЬШОЙ КОНВЕРТ   ОТКРЫВ ЕГО ДРОЖАЩИМИ ОТ ВОЛНЕНИЯ РУКАМИ, ДОСТАЁШЬ ОТТУДА ИСПИСАННУЮ БУМАЖКУ   «Вы участвуете. Сегодня в два, место вам известно. Желаем удачи!» – ГЛАСИТ ПИСЬМО   ЧТО? НЕУЖЕЛИ? ОТ РАДОСТИ ТЫ БЕЖИШЬ НА КУХНЮ ЗА ЧАЕМ, НО ТУТ ЖЕ ЗАМИРАЕШЬ: ВРЕМЕНИ МАЛО   СТАРЫЕ НАСТЕННЫЕ ЧАСЫ ПРОБИЛИ ПОЛНОЧЬ   ПЛЕСНУВ В КРУЖКУ АРОМАТНОГО НАПИТКА, ТЫ САДИШЬСЯ ПЕРЕД МЕРЦАЮЩИМ МОНИТОРОМ   СЛЕДУЮЩИЕ ПОЛТОРА ЧАСА ИЗ ТВОЕЙ КОМНАТЫ ЛЬЁТСЯ НЕИСТОВЫЙ ОР И НОСТАЛЬГИЧЕСКИЙ ПЛАЧ   ТЫ ТОРЧИШЬ В БОРДАХ, РАКОПАБЛИКАХ, ЛИСТАЕШЬ ТОННЫ МЕМОВ, ЗАУЧИВАЯ КАЖДЫЙ ИЗ НИХ. СО ЛБА РУЧЬЯМИ ЛЬЁТСЯ ПОТ, ГОРЛО ПЕРЕСЫХАЕТ, А ГОЛОВА ПРЕВРАЩАЕТСЯ В КОЛОКОЛ   НАКОНЕЦ ПОСЛЕДНИЙ МЕМ ЗАУЧЕН   ТЫ ГОТОВ   ВЗГЛЯНУВ НА ЧАСЫ, ТЫ БЫСТРО ОДЕВАЕШЬСЯ И ВЫБЕГАЕШЬ НА УЛИЦУ. ДА, НОЧЬЮ ТУТ ДОВОЛЬНО ПРОХЛАДНО. ВСТАВ НА ОСТАНОВКЕ, ПРОВЕРЯЕШЬ ВРЕМЯ – ДВЕ МИНУТЫ   ВДАЛЕКЕ ЗАГОРАЮТСЯ ФАРЫ, СВЕТ ИХ СТАНОВИТСЯ ВСЁ БЛИЖЕ. АВТОБУС. АВТОБУС НОМЕР 410   ЗАЙДЯ ВНУТРЬ, КИВАЕШЬ ВОДИТЕЛЮ, А ТОЧНЕЕ, ЕГО ОТСУТСТВИЮ И САДИШЬСЯ У ОКНА. НЕ ЗРЯ ВРЕМЯ ВЫБРАЛИ ТАКОЕ ПОЗДНЕЕ, ТЫ МГНОВЕННО ЗАСЫПАЕШЬ   – Вставай, ну ты и соня, тебя даже остановка в «Совёнке» не разбудила! Начало скоро, проснись!   ПИСКЛЯВЫЙ ШКОЛЬНИК С ОБМОТАННЫМИ ВОКРУГ ШЕИ НАУШНИКАМИ И НАРИСОВАННОЙ БЕЛОЙ КРАСКОЙ ЕДИНИЦЕЙ НА ТОЛСТОВКЕ ТОЛКАЕТ ТЕБЯ В ПОПЫТКЕ РАЗБУДИТЬ. ОТМАХНУВШИСЬ, ТЫ ПОДНИМАЕШЬ ВЗГЛЯД   ГИГАНТСКИЕ ТРИБУНЫ, ОКРУЖАЮЩИЕ НЕ МЕНЕЕ БОЛЬШУЮ АРЕНУ. ДА, ТЫ ПОПАЛ СЮДА!   – Внимание! Двести двадцать восьмой всемирный турнир за звание Величайшего Нетленного Властелина Мемов объявляется открытым! Сегодня на арене сойдутся восемь бойцов, как никто другой умеющих совладать с мемной стихией! И в первом бою сойдутся бойцы под номерами... один и два!   ТЫ ВЗГЛЯНУЛ НА СВОЮ ОДЕЖДУ, НА НЕЙ БЕЛОЙ КРАСКОЙ ВЫВЕДЕНА ЦИФРА ДВА. ПОДНЯВШИСЬ, ТЫ ИДЁШЬ К АРЕНЕ   ДА, ТЫ ПОВЕЛИТЕЛЬ МЕМОВ. ОДИН ИЗ НЕМНОГИХ ЛЮДЕЙ, СПОСОБНЫХ УПРАВЛЯТЬ ИМИ. ЭТОТ ТУРНИР СОБИРАЕТ ТАКИХ, КАК ТЫ, ПЫТАЯСЬ ВЫЯВИТЬ ЛУЧШЕГО   ТВОЙ ПЕРВЫЙ СОПЕРНИК – ТОТ САМЫЙ БУДИВШИЙ ТЕБЯ ШКОЛЬНИК. ГОРДО ПОДНЯВ ГОЛОВУ, ОН СТОИТ В ДРУГОМ КОНЦЕ АРЕНЫ. ПРОБИЛ ГОНГ   – Между нами тает лёд! – БЫСТРО ПРОКРИЧАЛ ШКОЛЯР   ВСЯ АРЕНА ПОРОСЛА ПУСКАЮЩИМИ ЯДОВИТЫЕ СПОРЫ ГРИБАМИ, ЗАИГРАЛА ДУШЕРАЗДИРАЮЩАЯ МУЗЫКА   СХВАТИВШИСЬ ЗА КРОВОТОЧАЩИЕ УШИ, ТЫ ПАДАЕШЬ НА КОЛЕНИ. СДАТЬСЯ В ПЕРВОМ БОЮ? НЕТ, ЭТО Ж ЁБАНЫЙ СТЫД!   ПЕРЕБРАВ В ГОЛОВЕ ВСЕ ИЗВЕСТНЫЕ МЕМЫ, ТЫ КРИЧИШЬ:  – Умерьте пыл! Пётр, съёбывай из Рашки!   НА АРЕНЕ С КРИКОМ «Извините, я на тракторе!» ПОЯВЛЯЕТСЯ ПОРОСЁНОК НА да ладно! ТРАКТОРЕ, КОТОРЫЙ, НАПЛЕВАВ НА СПОРЫ И ПЕСНЮ, ПОНЁССЯ К ИСПУГАННОМУ ШКОЛЬНИКУ   ШКОЛЬНИК ЩЁЛКАЕТ ПАЛЬЦАМИ, И ДОРОГУ ТРАКТОРУ ПРЕГРАЖДАЕТ ТОЛСТАЯ ВИЗГЛИВАЯ ЖЕНЩИНА:  – Свинья, сыначку моего обидеть решил?!   ПОДПРЫГНУВ, ЖЕНЩИНА БОМБОЧКОЙ ОБРУШАЕТСЯ НА ТРАКТОР, КОТОРЫЙ ТУТ ЖЕ ВЗРЫВАЕТСЯ   ШКОЛЬНИК РАССМЕЯЛСЯ:  – Ахах, люблю запах жареного бекона по утрам! Это запах победы! Что за баяны ты мне суёшь?   НЬЮФАГ ПОГАНЫЙ   – Иван Семёныч, на арену! Угости мальчика! – КРИЧИШЬ ТЫ.  В ТУ ЖЕ СЕКУНДУ НА АРЕНЕ ПОЯВЛЯЕТСЯ МУЖЧИНА С ГОЛУБЦАМИ В РУКАХ. ОДИН ИЗ НИХ ОН ТУТ ЖЕ КИДАЕТ В ШКОЛЬНИКА   – Что за?! Поехавший, в бой! – ОТВЕЧАЕТ ШКОЛЬНИК.  НА АРЕНУ ВРЫВАЕТСЯ ПО ПОЯС ГОЛЫЙ ТОЛСТЯК, КОТОРЫЙ МОЛНИЕНОСНО ЛОВИТ ГОЛУБЦЫ, ЖРЁТ ИХ И ОБМАЗЫВАЕТСЯ ИМИ   ТОЛСТАЯ МАМАША ТЕМ ВРЕМЕНЕМ ОЧУХАЛАСЬ ОТ ВЗРЫВА ТРАКТОРА И ВМЕСТЕ С НАЕВШИМСЯ ПАХОМОМ ДВИНУЛАСЬ НА ТЕБЯ   – А хочешь историю, братишка? Шишка встанет!  – Ты как посмел, ирод, сыначку обижать!   КАКОЙ-ТО ПОДАЮЩИЙ ЗАЧАТКИ РАЗУМА ШКОЛЬНИК УДЕЛЫВАЕТ ТЕБЯ НА ТУРНИРЕ?! РЕШИВ ИСПОЛЬЗОВАТЬ ЗАПРЕЩЕННЫЙ ПРИЁМ, ТЫ ПРИНИМАЕШЬСЯ КАСТОВАТЬ ЖЕПОЙ ФАЕРБОЛЫ, ВЫЖИГАЯ ЭТИ ОТВРАТНЫЕ МЕМЫ   – Ааа, все ж мы люди, ну будьте ж вы людьми!  – Откройте форточку, жарко, жарко!   КОГДА ОТ МЕМОВ ШКОЛЬНИКА ОСТАЛАСЬ ЛИШЬ КУЧКА ПЕПЛА, ТЫ СКАСТОВАЛ ГИГАНТСКУЮ ПЛАМЕННУЮ ЙОБУ   ШКОЛЬНИК НАЧАЛ ОГЛЯДЫВАТЬСЯ, ПОДБИРАЯ МЕМ ДЛЯ ЗАЩИТЫ, НО, ПОХОЖЕ, НЕ СМОГ ПРИДУМАТЬ НИЧЕГО ЛУЧШЕ, КАК ПУСКАТЬ ВСЕ РАКОМЕМЫ ПОДРЯД:    – Ухади! Шурыга! Хован! Лагхин! Котлетки! Варвары! В боооой!!!   ВСЯ ЭТА РАКООРДА ДВИНУЛАСЬ НА ТЕБЯ. ИЗ ПОД ЗЕМЛИ ВЫПОЛЗЛИ КУБИЧЕСКИЕ ШКОЛЬНИКИ С ШАХТЕРСКИМ ОБОРУДОВАНИЕМ, ШУРЫГИНА НЕСЛА МЕЧ В ФОРМЕ ВОСЬМЁРКИ, ЛАРИН И ХОВАНСКИЙ ЧИТАЛИ Б-ГОМЕРЗКИЕ ТЕКСТЫ, ОТ КОТОРЫХ ТРЕСКАЛАСЬ ЗЕМЛЯ, КАКОЙ-ТО ДВОРНИК ПРИГЛАШАЛ ВСЕХ НА КОТЛЕТКИ, А ВАВРВАРЫ НАЗЫВАЛИ ДРУГ ДРУГА ВАРВАРАМИ   ЙОБА ОБРЕЛА МАКСИМАЛЬНЫЙ РАЗМЕР И С ЕХИДНОЙ УЛЫБКОЙ ПОЛЕТЕЛА В ОРДУ    – OH SHI—   КОГДА ДЫМ НАД АРЕНОЙ РАССЕЯЛСЯ, СТАЛА ВИДНА ТАКАЯ КАРТИНА: ОПАЛЕННЫЙ ШКОЛЬНИК, ПЛАЧА, ЛЕЖИТ НА ЗЕМЛЕ. ТЫ ПОД АПЛОДИСМЕНТЫ ВСКИДЫВАЕШЬ КУЛАК И ОБЕССИЛЕННО ИДЁШЬ НА СВОЁ МЕСТО. ШКОЛОТА ОТХВАТИЛА!   – Отака хуйня, малята… З’їла Лиска Колобка… – ОБЪЯВИЛ ДИКТОР   СЛЕДУЮЩИЕ БОИ ТЫ НЕ СМОТРЕЛ — НЕ БЫЛО СИЛ. СПУСТЯ ВРЕМЯ СНОВА ПРОЗВУЧАЛ ТВОЙ НОМЕР   ВЫЙДЯ НА АРЕНУ, РАЗГЛЯДЫВАЕШЬ НОВОГО СОПЕРНИКА – НИЧЕМ НЕ ПРИМЕЧАТЕЛЬНЫЙ ПАРЕНЬ. ЧЕРНАЯ КУРТКА С ПЕПЕ НА ГРУДИ, КАПЮШОН НА ГОЛОВЕ.ЧТО ОН ВЫКИНЕТ? ГОНГ   – Дратути! Вата, в бой! – КРИЧИТ СОПЕРНИК.  НА АРЕНЕ ПОЯВЛЯЮТСЯ ОКОЛО ДЕСЯТКА ЛЮДЕЙ С ПУТИНЫМ НА ФУТБОЛКЕ И ВОДКОЙ В РУКЕ. ГЛУПЫЙ ХОД, БРАТИШКА   – Митинг! – ОТВЕЧАЕШЬ ТЫ.  ДОРОГУ ВАТНИКАМ КРЕПКИМ ЩИТОМ ПРЕГРАЖДАЮТ АГРЕССИВНЫЕ ЛИБЕРАСТЫ. ЗАВЯЗЫВАЕТСЯ ДРАКА, КТО-ТО ЗАБРАЛСЯ НА СТОЛБ   – Думаешь, меня это остановит? Пативэн, на арену! – ГРОМКО ПРОДЕКЛАМИРОВАЛ ПАРЕНЬ.  НЕСКОЛЬКО ВООРУЖЕННЫХ БУТЫЛКАМИ И ДУБИНКАМИ ПОЛИЦЕЙСКИХ БЫСТРО РАЗНЕСЛИ ЩИТ ИЗ ЛИБЕРАСТОВ, ПОСЛЕ ЧЕГО ДВИНУЛИСЬ НА ТЕБЯ   КТО ЖЕ ПОМОЖЕТ В ТАКОЙ СИТУАЦИИ? ПРАВИЛЬНО:  – Гульмэн, в бой!   НА АРЕНУ ВЫШЕЛ НЕПРОПОРЦИОНАЛЬНЫЙ ПАРЕНЬ В МАЛИНОВОМ ПИДЖАКЕ И ЗАБАВНО-НЕУКЛЮЖИМИ ШАГАМИ НАПРАВИЛСЯ К КОПАМ. СПУСТЯ СЕКУНДУ ОН ОСТАНОВИЛСЯ И, ДОСТАВ ИЗ КАРМАНА ПОЛУТОРАМЕТРОВЫЙ БЛАСТЕР, НЕ ОСТАВЛЯЕТ ПАРНЮ И НАДЕЖДЫ НА ПОБЕДУ   – Ничоси! Быдлокодер, на арену! Удоли, тыжпрограммист!    В КРУГЕ АРЕНЫ ПОЯВЛЯЕТСЯ ТОЛСТЫЙ ПРЫЩАВЫЙ ПАРЕНЬ В ОЧКАХ, КОТОРЫЙ, ВЫВЕДЯ Del В ВОЗДУХЕ, ВЗМАХОМ РУКИ УБИРАЕТ РАССЫПАВШЕГОСЯ НА ПИКСЕЛИ ГУЛЬМЕНА   НО У ТЕБЯ СВОЙ КОЗЫРЬ:  – Goddess Bunny, покажи им класс!   НА АРЕНУ, ПОКРУЧИВАЯ ЗОНТИК, ВЫКАТИЛСЯ КОСТЛЯВЫЙ ТРАНС В КОСТЮМЕ ДЕВОЧКИ И ПРИНЯЛСЯ ТАНЦЕВАТЬ ЧЕЧЕТКУ   БЫДЛОКОДЕР ЗАВИЗЖАЛ ЧТО-ТО ПРО ФАЙЛЫ СМЕРТИ И ПРЕВРАТИЛСЯ В КИРПИЧНЫЙ ЗАВОД, ПОГРЕБАЯ СЕБЯ ПОД СВОИМИ ЖЕ КИРПИЧАМИ   – Батя, поддержи Джонни! – ВЫЗЫВАЕШЬ ТЫ ЕЩЁ ОДИН МЕМ. НА АРЕНУ ВЫКАТЫВАЕТСЯ БАТЯ, ПОДХОДИТ К КИРПИЧНОЙ ГОРЕ, СМОТРИТ В ЩЕЛЬ МЕЖ КИРПИЧЕЙ И ГОВОРИТ:  – Ты ебанутый? Что ты там делаешь?   – Что за зашквар? Огромные боевые человекоподобные роботы, в атаку! – ПРИЗВАЛ СОПЕРНИК.  С НЕБЕС НА АРЕНУ СПУСТИЛИСЬ ОГРОМНЫЕ БОЕВЫЕ ЧЕЛОВЕКОПОДОБНЫЕ РОБОТЫ ЦВЕТА РОССИЙСКОГО ТРИКОЛОРА   РОБОТЫ РАЗОМ ОТКРЫЛИ ОГОНЬ, УНИЧТОЖИВ ДЖОННИ И БАТЮ. МОЖЕТ...  – Неки, унянянячтожить этих роботов!   ТУТ ЖЕ ПОЛЧИЩА НЕК ПОКРЫЛИ ЗЕМНУЮ ТВЕРДЬ АРЕНЫ.  – Ня, – РОБКО МЯУКНУЛА ОДНА ИЗ НИХ.  – СМЕЕЕЕРТЬ!!! – ОТВЕТИЛИ ЕЙ ОСТАЛЬНЫЕ И С ШИПЕНИЕМ НАБРОСИЛИСЬ НА РОБОТОВ. РАЗБРАСЫВАЯ ИСКРЫ, РОБОТЫ ПАЛИ   – А знаешь что? Аниме – говно! Аниме – говно! – КРИЧАЛ ПАРЕНЬ.  УСЛЫШАВ ЭТО, НЕКИ РАЗОМ УПАЛИ НА ЗЕМЛЮ И ЗАПЛАКАЛИ. А ПАРЕНЬ ПРОДОЛЖАЛ КРИЧАТЬ.   – ЗАТКНИСЬ, СУКА! Диванные войска, вызываю подкрепление, тут тянок обижают!  НА АРЕНУ НА БОЕВЫХ ДИВАНАХ, НАПЕВАЯ «Диван, седая пелена!», ВЫЕХАЛИ ПРЕДСТАВИТЕЛИ САМЫХ ПРОФЕССИОНАЛЬНЫХ ПОДРАЗДЕЛЕНИЙ СТРАНЫ. ОНИ РАЗОМ ОТОДВИНУЛИ ПОДУШКИ, ИЗ-ПОД КОТОРЫХ В ПАРНЯ ПОЛЕТЕЛИ РАКЕТЫ    – HA-HA-HA, OH     ПАРЕНЬ ОТПРАВЛЕН В НОКАУТ, А ТЫ ВСКИДЫВАЕШЬ КУЛАК И ИДЁШЬ НА СВОЁ МЕСТО   – Ему двадцать, и он бородат! Победа снова за номером два!   СЛЕДУЮЩИЙ БОЙ ТЫ СНОВА НЕ СМОТРЕЛ. ОН ОКАЗАЛСЯ НА УДИВЛЕНИЕ БЫСТРЫМ. МИНУТА, И ТЕБЯ ВЫЗВАЛИ НА АРЕНУ. ФИНАЛ   СОПЕРНИК – КРЕПКИЙ ПАРЕНЬ В КОЖАНКЕ. ДЛИННЫЕ СВЕТЛЫЕ ВОЛОСЫ РАЗВЕВАЮТСЯ НА ВЕТРУ. ЧТО ОТ НЕГО ЖДАТЬ? НЕПОНЯТНО... ГОНГ!   ПРОТИВНИК РАССМЕЯЛСЯ, И НА АРЕНУ ВЫШЛА ПРЕКРАСНАЯ ТЯН В ПЛАЩЕ. ШАГ ЗА ШАГОМ ОНА ПРИБЛИЖАЛАСЬ К ТЕБЕ, ТЫ ПЕРЕБИРАЛ В ГОЛОВЕ МЕМЫ, НО ЭТО ЖЕ ТЯН... ДЕВУШКА... ОНА ВСТАЛА В ПАРЕ МЕТРОВ ОТ ТЕБЯ И РАСПАХНУЛА ПЛАЩ. ЩИТО?! ОП, РЕБЯТКИ, ЭТО ТРАП   ПОРЫВОМ ВНЕЗАПНОСТИ ТЕБЯ ОТБРОСИЛО К КРАЮ АРЕНЫ. УДАРИВШИСЬ О СТЕНКУ, ТЫ ПАДАЕШЬ В ГРЯЗЬ. СИЛЫ ПОКИНУЛИ ТЕБЯ. ГЛАЗА ПОЧТИ ПОЛНОСТЬЮ ПОТЕРЯЛИ ЗРЕНИЕ. А ЛАТЕНТНЫЙ ТРАП ТЕМ ВРЕМЕНЕМ ПРИБЛИЖАЛСЯ   – Кто же ты, слабак? – НАДМЕННО СПРОСИЛ СОПЕРНИК   СЛАБАК? ДА КАК ОН СМЕЕТ? ПОРА ПОЗНАТЬ ЕМУ, КАКОВО ПРОИГРЫВАТЬ   – Мы... анонимусы. И имя нам – ЛЕГИОН! /b/, ВПЕРЁД! – СКОМАНДОВАЛ ТЫ.   ИЗ ПОРТАЛОВ СТАЛА ВЫПРЫГИВАТЬ ТОЛПА АНОНИМУСОВ, ОНИ СМЕЛИ ТРАПА И ДВИНУЛИСЬ К ТВОЕМУ СОПЕРНИКУ. ИХ ВСЁ ПРИБЫВАЛО   – Модератор, бань их! Раки, в бой!   НА АРЕНУ ВЫШЕЛ ГРОМИЛА С МОЛОТОМ В РУКЕ. ЭТИМ БАНХАММЕРОМ ОН РАСКИДЫВАЛ РЯДЫ БИТАРДОВ, ПОСЛЕ ПОНАБЕЖАЛИ ШКОЛЬНИКИ С КЛЕШНЯМИ ВМЕСТО РУК, ПОНИЖАЯ НАСТРОЙ АНОНИМУСОВ, НО ТЫ НЕ СДАВАЛСЯ:  – Славя-тян, СССР-тян, Двач-тян, Россия-онее-сама, поддержите своих воинов!   ВСЛЕД ЗА БИТАРДАМИ ВЫШЛИ МАСКОТЫ. АНОНИМУСЫ, ЗАВИДЕВ ИХ, СТАЛИ СРАЖАТЬСЯ ЕЩЁ ОТВЕРЖЕННЕЕ   – Ты не пройдешь! РКН, в атаку! – КОМАНДУЕТ СОПЕРНИК   ПАРЕНЬ В БЕЛО-ГОЛУБОЙ ФОРМЕ С ПУШКОЙ В РУКАХ ВЫХОДИТ НА АРЕНУ И ПРИНИМАЕТСЯ АННИГИЛИРОВАТЬ БИТАРДОВ, КОТОРЫЕ ПРОДОЛЖАЛИ ПРИБЫВАТЬ   – Хикки, не спать! Кулхацкеры, в бой! Уничтожьте их!   ИЗ ПОРТАЛОВ ПОВЫПРЫГИВАЛА ЕЩЁ ОДНА ВОЛНА. ВЕСЬ ЛЕГИОН СОБРАЛСЯ НА ЭТОЙ АРЕНЕ. АНОНИМУСЫ НАКРЫЛИ РКН И МОДЕРА, РАЗНЕСЛИ РАЧЬЕ И УЖЕ ПРИБЛИЗИЛИСЬ К ТВОЕМУ СОПЕРНИКУ   – O RLY?..   СОПЕРНИК ПОВЕРЖЕН. ОТ НЕГО НЕ ОСТАЛОСЬ И КУСКА. ТЫ ВСКИДЫВАЕШЬ КУЛАК.   – Ииии… У нас новый Властелин! Короновать его!   НЕСКОЛЬКО СЛУГ ПОДБЕЖАЛИ К ТЕБЕ И ТОРЖЕСТВЕННО НАДЕЛИ НА ГОЛОВУ ПАКЕТ   ТЫ НАЧИНАЕШЬ РЕЧЬ   – САП, АНОНЫ! МЫ ДОЛГО ШЛИ К ЭТОЙ ПОБЕДЕ, И СЕЙЧАС МЫ КАК НИКОГДА БЛИЗКО К ВОЗВРАЩЕНИЮ БЫЛОЙ СЛАВЫ! ВСЕ МЫ, БИТАРДЫ И АНИМЕШНИКИ, СОБРАЛИСЬ ЗДЕСЬ, И ПУСТЬ В ЭТОМ НЕРАВНОМ БОЮ ПАЛИ МНОГИЕ, ТЕПЕРЬ, ЭТОЙ НОЧЬЮ, МЫ НАНЕСЁМ ПОСЛЕДНИЙ УДАР! УДАР ПО IRL! ИХ ДОМА БУДУТ ПОЛЫХАТЬ, КАК НАШИ ЖЕПЫ, НИКТО БОЛЬШЕ НЕ ПОСМЕЕТ СОРВАТЬ ПАКЕТЫ С НАШИХ ГОЛОВ! ДАВНО МЫ НЕ ХОДИЛИ В РЕЙДЫ, А, ДВАЧ? НО СЕЙЧАС САМОЕ ВРЕМЯ. ВЕДЬ НАС МНОГО. И ИМЯ НАМ – ЛЕГИОН!!!   ТОЛПА ОДОБРЯЮЩЕ ЗАКРИЧАЛА   ТАК КТО ЖЕ ТЫ, НОВЫЙ ВЛАСТЕЛИН?   ТЫ ОДИН ИЗ МНОГИХ. ИЗ ВСЕМИ ЗАБЫТЫХ И ОТВЕРЖЕННЫХ АНОНИМУСОВ   И ЭТОЙ НОЧЬЮ ТЕБЯ ЖДЁТ ТВОЙ ГЛАВНЫЙ БОЙ";"post";1;0;1;0;0;1519;1491332721;71.0134128166915;0.5051067190324;1906;2684;377346;57536014
"#БТnews  СНИМАЕШЬСЯ В ФИЛЬМЕ О ВТОРОЙ МИРОВОЙ  ТК САМ НЕМЕЦ ИГРАЕШЬ ФАШИСТОВ  ПО ОКОНЧАНИИ СЪЕМОК СПРАШИВАЕШЬ ОПЛАТУ  — ТА ВАМ В 1943 МАЛО БЫЛО ЧТО ЛИ ОПЛАТЫ? ИДИТЕ ОТСЕДОВА   ";"post";1;1;0;0;0;29;1491329144;60.134128166915055;0.42772415766961885;1614;2684;377346;57536014
"ДУМАЕШЬ, ЧТО ТЫ МЕГА ХАРИЗМАТИЧНЫЙ АЛЬФА САМЕЦ У ТЕБЯ САМЫЙ СЕКСУАЛЬНЫЙ ГОЛОС САМАЯ ОФИГИТЕЛЬНАЯ ПОХОДКА САМЫЙ ЦЕЛЕУСТРЕМЛЕННЫЙ ВЗГЛЯД САМОЕ УМНОЕ ЛИЦО КАК-ТО РАЗ ПОСМОТРЕЛ ВИДЕО С СОБОЙ РАЗУБЕДИЛСЯ В ОБРАТНОМ";"post";1;0;0;0;0;30;1491325561;101.04321907600595;0.7187037890954191;2712;2684;377346;57536014
